Leon Draisaitl,399,y,0,2,19,29,25,50,43,31,55,52,41,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Neely,395,,16,21,14,36,42,37,55,51,9,11,50,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Larouche ,395,,0,31,53,29,23,9,50,25,34,18,48,24,20,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernie Geoffrion,393,,0,8,30,22,29,38,29,19,27,22,30,50,23,23,21,0,0,17,5,0,0,0,0,0,0,0,0,0
David Pastrnak,391,y,10,15,34,35,38,48,20,40,61,47,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Pronovost,391,,0,0,0,0,0,16,20,21,30,21,40,43,52,33,40,28,24,22,1,0,0,0,0,0,0,0,0,0
Rick Martin,384,,0,0,44,37,52,52,49,36,28,32,45,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Leach,381,,0,0,2,13,23,22,45,61,32,24,34,50,34,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Milan Hejduk,375,,0,0,0,0,14,36,41,21,50,35,0,24,35,29,27,23,22,14,4,0,0,0,0,0,0,0,0,0
Dany Heatley,372,,0,0,26,41,13,0,50,50,41,39,39,26,24,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Rick Kehoe,371,,0,0,8,33,18,32,29,30,29,27,30,55,33,29,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Kerr,370,,0,0,22,21,11,54,54,58,58,3,48,24,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan MacKinnon,367,y,24,14,21,16,39,41,35,20,32,42,51,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor McDavid,361,y,16,30,41,41,34,33,44,64,32,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Sheppard,357,,0,0,0,38,22,4,24,36,32,52,30,37,29,18,25,10,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Maruk,356,,0,30,28,36,31,10,50,60,31,17,19,21,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Gare,354,,0,0,31,50,11,39,27,56,46,20,26,13,27,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rick MacLeish,349,,0,0,2,1,50,32,38,22,49,31,26,31,38,19,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Simmer,342,,0,0,8,1,2,0,21,56,56,15,29,44,34,36,29,11,0,0,0,0,0,0,0,0,0,0,0,0
