yearID,USA,Dominican Republic,Venezuela,Puerto Rico,Cuba,Canada,Japan,Mexico,Other
1925,0.9828897338403042,0.0,0.0,0.0,0.0076045627376425855,0.0038022813688212928,0.0,0.0,0.005703422053231939
1926,0.9820717131474104,0.0,0.0,0.0,0.00796812749003984,0.00199203187250996,0.0,0.0,0.00796812749003984
1927,0.986328125,0.0,0.0,0.0,0.00390625,0.001953125,0.0,0.0,0.0078125
1928,0.9881188118811881,0.0,0.0,0.0,0.005940594059405941,0.0019801980198019802,0.0,0.0,0.0039603960396039604
1929,0.984313725490196,0.0,0.0,0.0,0.0058823529411764705,0.00196078431372549,0.0,0.0,0.00784313725490196
1930,0.9898580121703854,0.0,0.0,0.0,0.002028397565922921,0.004056795131845842,0.0,0.0,0.004056795131845842
1931,0.983739837398374,0.0,0.0,0.0,0.0040650406504065045,0.0040650406504065045,0.0,0.0,0.008130081300813009
1932,0.9796334012219959,0.0,0.0,0.0,0.004073319755600814,0.004073319755600814,0.0,0.0,0.012219959266802444
1933,0.9869565217391304,0.0,0.0,0.0,0.002173913043478261,0.002173913043478261,0.0,0.002173913043478261,0.006521739130434782
1934,0.9897330595482546,0.0,0.0,0.0,0.002053388090349076,0.004106776180698152,0.0,0.002053388090349076,0.002053388090349076
1935,0.987603305785124,0.0,0.0,0.0,0.004132231404958678,0.002066115702479339,0.0,0.004132231404958678,0.002066115702479339
1936,0.9875259875259875,0.0,0.0,0.0,0.002079002079002079,0.004158004158004158,0.0,0.004158004158004158,0.002079002079002079
1937,0.9839357429718876,0.0,0.0,0.0,0.002008032128514056,0.008032128514056224,0.0,0.002008032128514056,0.004016064257028112
1938,0.9820717131474104,0.0,0.0,0.0,0.00199203187250996,0.0099601593625498,0.0,0.00199203187250996,0.00398406374501992
1939,0.9849906191369606,0.0,0.001876172607879925,0.0,0.001876172607879925,0.0075046904315197,0.0,0.001876172607879925,0.001876172607879925
1940,0.980544747081712,0.0,0.0019455252918287938,0.0,0.0038910505836575876,0.009727626459143969,0.0,0.0,0.0038910505836575876
1941,0.9743589743589743,0.0,0.0018315018315018315,0.0,0.005494505494505495,0.016483516483516484,0.0,0.0,0.0018315018315018315
1942,0.96484375,0.0,0.001953125,0.001953125,0.005859375,0.01953125,0.0,0.00390625,0.001953125
1943,0.9653179190751445,0.0,0.0019267822736030828,0.0038535645472061657,0.009633911368015413,0.011560693641618497,0.0,0.0019267822736030828,0.005780346820809248
1944,0.9562043795620438,0.0,0.0036496350364963502,0.0018248175182481751,0.021897810218978103,0.012773722627737226,0.0,0.0018248175182481751,0.0018248175182481751
1945,0.9506398537477148,0.0,0.0018281535648994515,0.0018281535648994515,0.021937842778793418,0.016453382084095063,0.0,0.0018281535648994515,0.005484460694698354
1946,0.9684044233807267,0.0,0.0,0.001579778830963665,0.00315955766192733,0.018957345971563982,0.0,0.001579778830963665,0.00631911532385466
1947,0.9724264705882353,0.0,0.0,0.001838235294117647,0.001838235294117647,0.012867647058823529,0.0,0.001838235294117647,0.009191176470588236
1948,0.9797047970479705,0.0,0.0,0.0,0.005535055350553505,0.00922509225092251,0.0,0.0,0.005535055350553505
1949,0.9624060150375939,0.0,0.0018796992481203006,0.0018796992481203006,0.011278195488721804,0.011278195488721804,0.0,0.0018796992481203006,0.009398496240601503
1950,0.9584905660377359,0.0,0.0018867924528301887,0.0018867924528301887,0.016981132075471698,0.011320754716981131,0.0,0.0037735849056603774,0.005660377358490566
1951,0.9558011049723757,0.0,0.001841620626151013,0.003683241252302026,0.016574585635359115,0.011049723756906077,0.0,0.003683241252302026,0.007366482504604052
1952,0.960431654676259,0.0,0.0017985611510791368,0.0,0.02158273381294964,0.008992805755395683,0.0,0.0017985611510791368,0.00539568345323741
1953,0.9644194756554307,0.0,0.003745318352059925,0.003745318352059925,0.016853932584269662,0.0018726591760299626,0.0,0.003745318352059925,0.0056179775280898875
1954,0.9533582089552238,0.0,0.0037313432835820895,0.009328358208955223,0.014925373134328358,0.005597014925373134,0.0,0.007462686567164179,0.005597014925373134
1955,0.9382303839732888,0.0,0.00333889816360601,0.01001669449081803,0.025041736227045076,0.008347245409015025,0.0,0.005008347245409015,0.01001669449081803
1956,0.9420289855072463,0.0018115942028985507,0.005434782608695652,0.010869565217391304,0.02355072463768116,0.0018115942028985507,0.0,0.0018115942028985507,0.012681159420289856
1957,0.9378330373001776,0.0017761989342806395,0.0053285968028419185,0.012433392539964476,0.02486678507992895,0.0053285968028419185,0.0,0.0017761989342806395,0.010657193605683837
1958,0.9344827586206896,0.0034482758620689655,0.005172413793103448,0.01206896551724138,0.02413793103448276,0.0017241379310344827,0.0,0.006896551724137931,0.01206896551724138
1959,0.9264448336252189,0.0017513134851138354,0.0035026269702276708,0.01576182136602452,0.0297723292469352,0.005253940455341506,0.0,0.0017513134851138354,0.01576182136602452
1960,0.9026086956521739,0.01217391304347826,0.0052173913043478265,0.017391304347826087,0.03826086956521739,0.006956521739130435,0.0,0.0017391304347826088,0.01565217391304348
1961,0.9161290322580645,0.01129032258064516,0.0032258064516129032,0.014516129032258065,0.03064516129032258,0.008064516129032258,0.0,0.0016129032258064516,0.014516129032258065
1962,0.905982905982906,0.01282051282051282,0.002849002849002849,0.017094017094017096,0.03276353276353276,0.014245014245014245,0.0,0.0014245014245014246,0.01282051282051282
1963,0.9079136690647482,0.015827338129496403,0.0028776978417266188,0.015827338129496403,0.034532374100719423,0.011510791366906475,0.0,0.0014388489208633094,0.010071942446043165
1964,0.8985714285714286,0.018571428571428572,0.002857142857142857,0.015714285714285715,0.03571428571428571,0.011428571428571429,0.0014285714285714286,0.0014285714285714286,0.014285714285714285
1965,0.8974358974358975,0.01566951566951567,0.004273504273504274,0.018518518518518517,0.037037037037037035,0.01282051282051282,0.0014245014245014246,0.0014245014245014246,0.011396011396011397
1966,0.8893557422969187,0.018207282913165267,0.004201680672268907,0.015406162464985995,0.04061624649859944,0.014005602240896359,0.0,0.0028011204481792717,0.015406162464985995
1967,0.8816155988857939,0.01532033426183844,0.012534818941504178,0.01532033426183844,0.04178272980501393,0.011142061281337047,0.0,0.004178272980501393,0.018105849582172703
1968,0.8846153846153846,0.016272189349112426,0.005917159763313609,0.01775147928994083,0.03698224852071006,0.008875739644970414,0.0,0.008875739644970414,0.020710059171597635
1969,0.8822143698468787,0.02120141342756184,0.009422850412249705,0.02237926972909305,0.03180212014134275,0.009422850412249705,0.0,0.007067137809187279,0.016489988221436984
1970,0.8763250883392226,0.01884570082449941,0.012956419316843345,0.024734982332155476,0.03297997644287397,0.009422850412249705,0.0,0.007067137809187279,0.0176678445229682
1971,0.8913043478260869,0.016908212560386472,0.00966183574879227,0.027777777777777776,0.025362318840579712,0.006038647342995169,0.0,0.007246376811594203,0.01570048309178744
1972,0.8859223300970874,0.02063106796116505,0.00849514563106796,0.027912621359223302,0.019417475728155338,0.006067961165048544,0.0012135922330097086,0.012135922330097087,0.01820388349514563
1973,0.8842874543239951,0.0194884287454324,0.0097442143727162,0.03288672350791717,0.018270401948842874,0.007308160779537149,0.001218026796589525,0.010962241169305725,0.015834348355663823
1974,0.8850174216027874,0.023228803716608595,0.010452961672473868,0.03368176538908246,0.016260162601626018,0.005807200929152149,0.0,0.011614401858304297,0.013937282229965157
1975,0.8933649289099526,0.022511848341232227,0.005924170616113744,0.02843601895734597,0.015402843601895734,0.008293838862559242,0.0,0.009478672985781991,0.016587677725118485
1976,0.8777506112469438,0.02444987775061125,0.008557457212713936,0.03178484107579462,0.014669926650366748,0.009779951100244499,0.0,0.013447432762836185,0.019559902200488997
1977,0.8822222222222222,0.02666666666666667,0.008888888888888889,0.03333333333333333,0.008888888888888889,0.01,0.0,0.012222222222222223,0.017777777777777778
1978,0.8871681415929203,0.034292035398230086,0.008849557522123894,0.022123893805309734,0.008849557522123894,0.00663716814159292,0.0,0.014380530973451327,0.017699115044247787
1979,0.8921023359288098,0.03337041156840934,0.00778642936596218,0.026696329254727477,0.004449388209121246,0.00778642936596218,0.0,0.011123470522803115,0.01668520578420467
1980,0.8831877729257642,0.03275109170305677,0.009825327510917031,0.02947598253275109,0.008733624454148471,0.007641921397379912,0.0,0.013100436681222707,0.015283842794759825
1981,0.8897464167585446,0.029768467475192944,0.009922822491730982,0.029768467475192944,0.005512679162072767,0.006615214994487321,0.0,0.013230429988974642,0.015435501653803748
1982,0.8841201716738197,0.034334763948497854,0.01072961373390558,0.03111587982832618,0.003218884120171674,0.00536480686695279,0.0,0.013948497854077254,0.017167381974248927
1983,0.8835257082896117,0.035676810073452254,0.011542497376705142,0.03147953830010493,0.0031479538300104933,0.0031479538300104933,0.0,0.00944386149003148,0.022035676810073453
1984,0.8844919786096257,0.0374331550802139,0.012834224598930482,0.029946524064171122,0.0032085561497326204,0.0021390374331550803,0.0,0.008556149732620321,0.0213903743315508
1985,0.8822905620360552,0.03923647932131495,0.014846235418875928,0.029692470837751856,0.003181336161187699,0.0042417815482502655,0.0,0.006362672322375398,0.02014846235418876
1986,0.8845750262329486,0.03882476390346275,0.013641133263378805,0.033578174186778595,0.0031479538300104933,0.002098635886673662,0.0,0.0062959076600209865,0.017838405036726127
1987,0.8738461538461538,0.04205128205128205,0.01641025641025641,0.033846153846153845,0.0041025641025641026,0.0041025641025641026,0.0,0.0071794871794871795,0.018461538461538463
1988,0.8581706063720452,0.048304213771839674,0.023638232271325797,0.03186022610483042,0.007194244604316547,0.0041109969167523125,0.0,0.009249743062692703,0.017471736896197326
1989,0.8704453441295547,0.048582995951417005,0.020242914979757085,0.029352226720647773,0.004048582995951417,0.005060728744939271,0.0,0.004048582995951417,0.018218623481781375
1990,0.8631067961165049,0.05048543689320388,0.018446601941747572,0.03300970873786408,0.005825242718446602,0.005825242718446602,0.000970873786407767,0.006796116504854369,0.015533980582524271
1991,0.8491295938104448,0.05319148936170213,0.0183752417794971,0.03868471953578337,0.0038684719535783366,0.009671179883945842,0.0009671179883945841,0.01160541586073501,0.014506769825918761
1992,0.8500496524329693,0.05660377358490566,0.011916583912611719,0.041708043694141016,0.005958291956305859,0.011916583912611719,0.0,0.004965243296921549,0.016881827209533268
1993,0.8387681159420289,0.05434782608695652,0.016304347826086956,0.041666666666666664,0.007246376811594203,0.01358695652173913,0.0,0.007246376811594203,0.020833333333333332
1994,0.8355196770938446,0.0615539858728557,0.015136226034308779,0.039354187689202826,0.006054490413723511,0.011099899091826439,0.0010090817356205853,0.009081735620585268,0.02119071644803229
1995,0.824360105913504,0.06972639011473963,0.02206531332744925,0.03442188879082083,0.00441306266548985,0.00794351279788173,0.00176522506619594,0.01500441306266549,0.02030008826125331
1996,0.810692375109553,0.06836108676599474,0.026292725679228746,0.03593339176161262,0.006134969325153374,0.009640666082383873,0.0026292725679228747,0.012269938650306749,0.028045574057843997
1997,0.780053428317008,0.08014247551202137,0.034728406055209264,0.0365093499554764,0.008014247551202136,0.01068566340160285,0.004452359750667854,0.015138023152270703,0.030276046304541407
1998,0.7841483979763912,0.07588532883642496,0.02866779089376054,0.03962900505902192,0.008431703204047217,0.012647554806070826,0.00505902192242833,0.013490725126475547,0.03204047217537943
1999,0.770885028949545,0.08684863523573201,0.02977667493796526,0.034739454094292806,0.009098428453267164,0.01488833746898263,0.007444168734491315,0.01488833746898263,0.03143093465674111
2000,0.7617886178861789,0.08455284552845528,0.03577235772357724,0.038211382113821135,0.00894308943089431,0.013821138211382113,0.00894308943089431,0.01869918699186992,0.02926829268292683
2001,0.7475409836065574,0.09098360655737706,0.040983606557377046,0.04344262295081967,0.013114754098360656,0.010655737704918032,0.009016393442622951,0.013934426229508197,0.030327868852459017
2002,0.7405582922824302,0.09441707717569786,0.04433497536945813,0.04187192118226601,0.011494252873563218,0.010673234811165846,0.011494252873563218,0.017241379310344827,0.027914614121510674
2003,0.7382113821138211,0.09349593495934959,0.05040650406504065,0.038211382113821135,0.00894308943089431,0.012195121951219513,0.01056910569105691,0.01951219512195122,0.028455284552845527
2004,0.7265437048917401,0.10264635124298316,0.05292702485966319,0.038492381716118684,0.009623095429029671,0.014434643143544507,0.012028869286287089,0.016840417000801924,0.026463512429831595
2005,0.7202910266774454,0.10832659660468877,0.05254648342764753,0.03637833468067906,0.008084074373484237,0.0137429264349232,0.012934518997574777,0.01778496362166532,0.029911075181891674
2006,0.7181964573268921,0.11755233494363929,0.0571658615136876,0.033816425120772944,0.007246376811594203,0.01610305958132045,0.008051529790660225,0.013687600644122383,0.02818035426731079
2007,0.7276995305164319,0.1056338028169014,0.05712050078247261,0.032081377151799685,0.006259780907668232,0.01564945226917058,0.012519561815336464,0.014084507042253521,0.028951486697965573
2008,0.7257939581719597,0.09759876065065841,0.06429124709527498,0.02865995352439969,0.010069713400464756,0.013168086754453912,0.01471727343144849,0.016266460108443067,0.02943454686289698
2009,0.717219589257504,0.10110584518167456,0.06872037914691943,0.02764612954186414,0.010268562401263823,0.015007898894154818,0.014218009478672985,0.01579778830963665,0.030015797788309637
2010,0.7309847878302642,0.10088070456365092,0.06485188150520416,0.02321857485988791,0.01200960768614892,0.01521216973578863,0.010408326661329063,0.012810248198558846,0.029623698959167333
2011,0.728957528957529,0.09884169884169884,0.06486486486486487,0.021621621621621623,0.013127413127413128,0.019305019305019305,0.010038610038610039,0.012355212355212355,0.03088803088803089
